top,heart,base,perfume_id
"[96, 796, 562]","[473, 661, 664, 555]","[808, 900, 513, 649]",26151621
"[96, 660, 796]","[785, 473, 661, 237]","[649, 920, 26]",26151622
"[96, 515, 178]","[372, 193]","[498, 920, 624]",26151623
"[292, 660, 530]","[481, 331, 652, 692]","[26, 808, 624]",26151624
"[515, 96, 388, 303]","[473, 461, 224, 193]","[808, 692, 472, 624]",26151625
,,,26151626
,,,26151627
"[785, 800, 473, 193, 808, 7, 624]",,,26151628
"[388, 883, 604, 473, 692, 26]",,,26151629
"[96, 692, 649, 624, 26]",,,26151630
"[513, 692, 7, 808, 7]",,,26151631
"[108, 938, 530, 45, 660, 920, 624]",,,26151632
"[45, 406, 388, 808, 193, 624]",,,26151633
"[785, 800, 224, 692, 808, 7, 920]",,,26151634
"[765, 660, 883, 187, 624, 26]",,,26151635
[624],,,26151636
"[920, 624]",,,26151637
[959],,,26151638
[808],,,26151639
[785],,,26151640
[692],,,26151641
"[630, 888]",,,26151642
"[353, 395]",,,26151643
"[624, 26]",,,26151644
[473],,,26151645
"[959, 353, 624]",,,26151646
,,,26151647
[512],,,26151648
[473],,,26151649
[227],,,26151650
[325],,,26151651
"[367, 624]",,,26151652
[624],,,26151653
[959],,,26151654
[26],,,26151655
[26],,,26151656
"[96, 928, 102]","[53, 367, 529]","[692, 624, 26]",26151657
"[227, 96, 593]","[646, 178, 604]","[624, 649, 28, 808, 193]",26151658
[96],"[473, 785, 920]","[808, 624]",26151659
[461],[808],[624],26151660
"[562, 45, 698]","[473, 785]","[26, 624]",26151661
"[808, 924, 26, 237, 292]",,,26151662
"[193, 26, 586, 33]",,,26151663
"[245, 785, 473, 920, 417, 376, 646, 692]",,,26151664
"[388, 480, 670, 785, 498]",,,26151665
"[246, 193, 33, 98, 331, 28, 292, 692]",,,26151666
,,,26151667
"[96, 780, 102]","[473, 512, 661]","[26, 7, 624]",26151668
"[513, 800, 639]","[513, 785, 927, 461, 692]","[924, 808, 7, 191]",26151669
"[515, 96]","[785, 692, 193]","[26, 624, 900, 908]",26151670
"[193, 624, 652, 89, 498, 692, 649]",,,26151671
"[224, 237, 178]",[692],"[863, 649]",26151672
[259],[924],"[624, 649, 7]",26151673
,,,26151674
"[928, 692]",,,26151675
[670],,,26151676
[793],[461],"[808, 908, 193]",26151677
,,,26151678
[473],,,26151679
"[343, 888]",,,26151680
[660],,,26151681
[227],"[649, 498]",[193],26151682
[227],"[649, 498]",[193],26151683
[573],,,26151684
[96],"[372, 639]","[246, 26]",26151685
"[227, 473, 513, 808, 920]",,,26151686
[670],"[883, 398]",[924],26151687
"[672, 515, 96, 660]","[593, 646, 692, 372, 947]","[924, 26, 624, 513, 193]",26151688
"[178, 237]","[473, 785]","[624, 498]",26151689
[785],,"[624, 785]",26151690
[785],"[924, 692]",,26151691
"[12, 639, 527, 96, 444]","[785, 529, 473, 966, 913]","[669, 228, 624, 924, 193, 28, 920, 808, 692, 659]",26151692
,,,26151693
"[785, 473, 660, 96, 692, 924]",,,26151694
"[461, 515, 519, 928, 808, 26]",,,26151695
[805],"[96, 515, 562, 461]","[624, 7]",26151696
"[178, 388, 331]","[224, 661, 366]","[26, 920, 908, 924]",26151697
"[96, 388, 723, 178]","[512, 888, 938]","[26, 624, 808]",26151698
"[96, 660, 358]","[473, 785, 527]","[692, 924, 920, 624]",26151699
[652],,,26151700
"[771, 224, 920]",,,26151701
"[670, 573]",,,26151702
"[966, 101]","[785, 426]","[7, 649, 808]",26151703
"[96, 388]","[660, 473, 785, 555]","[193, 692, 300]",26151704
[388],[245],"[624, 692]",26151705
"[732, 473, 146, 7]","[920, 367, 661, 433]","[513, 26, 920, 808]",26151706
"[362, 920, 26, 624]",,,26151707
"[388, 102, 51]","[529, 785, 473]",[46],26151708
"[227, 707]","[353, 362]",,26151709
"[388, 555]","[913, 785, 927, 529, 45]","[27, 7]",26151710
"[353, 920, 624]",,,26151711
[395],"[473, 529]","[920, 808, 908]",26151712
"[707, 661, 26, 808]",,,26151713
"[96, 723, 680, 512, 927, 646, 26]",,,26151714
"[604, 362, 7, 26]",,,26151715
"[388, 96, 102, 45, 723]","[7, 455]","[920, 28, 624]",26151716
"[959, 187, 26, 624]",,,26151717
"[694, 45]","[529, 473, 913]","[7, 624]",26151718
,,,26151719
"[227, 53, 12, 708, 353, 959]",,,26151720
"[362, 624, 808, 26]",,,26151721
"[515, 388, 512]","[725, 376, 193, 924]","[7, 26]",26151722
"[593, 281, 883, 802, 372, 82, 26, 7, 692, 624]",,,26151723
[959],,,26151724
[725],"[661, 913]","[26, 908]",26151725
"[785, 725]",,"[920, 692]",26151726
"[362, 227, 927, 765, 624]",,,26151727
"[562, 660, 96]","[913, 732]","[7, 498, 920, 176]",26151728
"[227, 732]",[353],"[7, 624]",26151729
"[388, 178]","[913, 966]","[624, 193]",26151730
"[362, 353]",,,26151731
"[53, 227, 959, 376, 455]",,,26151732
"[227, 376]","[555, 715]","[193, 624]",26151733
"[515, 519]","[927, 455]","[808, 28]",26151734
"[512, 98]",[927],"[808, 193, 624]",26151735
"[785, 562, 971]","[785, 473, 601, 303]","[808, 920, 903, 461]",26151736
[96],"[473, 661, 224, 376, 472, 627, 659]","[692, 808, 920]",26151737
"[227, 555]","[966, 473, 913]",[785],26151738
[336],"[725, 84]","[193, 343]",26151739
"[96, 515]","[398, 670]","[785, 292]",26151740
[208],,,26151741
"[227, 395]",,,26151742
"[227, 395]",,,26151743
"[846, 7]",,,26151744
"[7, 785, 473, 455]",,,26151745
"[96, 725]",,"[455, 727, 292]",26151746
"[785, 661, 180, 692, 649]",,,26151747
"[883, 971, 201]","[473, 601]","[937, 694]",26151748
"[227, 639]","[785, 473, 601]","[7, 924, 461]",26151749
"[785, 372]","[237, 15]","[808, 193]",26151750
"[292, 715, 639]","[785, 202]","[366, 924]",26151751
"[395, 362]",,,26151752
"[661, 473]",[913],"[904, 920]",26151753
"[639, 96, 927, 473, 461, 193]",,,26151754
"[913, 661, 473, 808, 924, 920]",,,26151755
"[246, 437, 473, 512]",,,26151756
"[800, 237]","[659, 627]","[808, 832]",26151757
,"[224, 708, 900, 376, 372, 237]","[652, 627, 193, 513]",26151758
,,,26151759
"[725, 661, 966, 7, 455]",,,26151760
"[227, 362]","[473, 785, 670]","[455, 7]",26151761
"[971, 661, 473]",,,26151762
"[928, 765, 282, 785, 527, 473, 193, 26, 624, 472, 7, 32, 99]",,,26151763
"[96, 108, 819, 725, 178, 555, 785, 473, 512, 732, 282, 624, 26, 649, 627, 924]",,,26151764
"[639, 800, 89, 785, 193, 708, 7, 808, 924]",,,26151765
"[472, 96]","[808, 692]","[900, 920, 26]",26151766
"[515, 96, 395]","[555, 473, 785]","[808, 924, 692, 920]",26151767
"[96, 388, 660]","[927, 708, 372, 692]","[924, 193, 624]",26151768
"[785, 455, 646, 388]","[513, 913, 966, 421, 670]","[26, 920, 649, 624]",26151769
"[473, 966, 102, 227]","[664, 692, 808]","[472, 26, 924, 920]",26151770
"[96, 785, 473]","[461, 692, 808]","[748, 920, 624]",26151771
"[708, 398, 336]","[512, 793, 246]","[472, 692, 193, 7]",26151772
"[183, 42, 282, 927]","[708, 7, 646, 461, 472]","[513, 624, 498, 26, 7]",26151773
"[472, 802, 246, 646]","[461, 7]","[26, 624, 924]",26151774
"[624, 42, 7, 692, 785]",,,26151775
"[802, 388, 376, 96, 789, 7, 624, 808]",,,26151776
"[96, 473]","[785, 808, 193]","[26, 624, 908, 498]",26151777
"[96, 358, 770]","[473, 290, 707, 669]","[26, 920, 692, 808, 890]",26151778
"[660, 725]","[913, 661]","[808, 920, 193, 26]",26151779
,,,26151780
"[690, 51, 928]","[82, 376, 800, 461, 473, 707, 670, 555]","[924, 692, 193, 624]",26151781
"[96, 900]",[920],[684],26151782
"[562, 639]","[913, 785, 920, 26, 512]","[819, 28, 808]",26151783
[858],"[473, 707, 913]","[26, 624, 692]",26151784
"[96, 562, 515]","[715, 604, 473]","[193, 692, 649]",26151785
"[96, 785, 82]","[45, 372, 732, 180, 224]","[193, 624, 920, 808, 924]",26151786
,,,26151787
[42],"[498, 472]","[649, 900]",26151788
"[96, 515, 725]","[670, 461, 473]","[692, 498, 864, 193, 36, 624]",26151789
"[96, 395]","[785, 785, 785, 785, 473]","[26, 725, 624]",26151790
[661],"[785, 966, 245, 785, 785, 785]","[920, 26, 924]",26151791
"[800, 883, 771]","[473, 927]","[498, 188]",26151792
"[372, 785]","[785, 785, 785]","[808, 26, 624]",26151793
,[208],"[268, 908, 920]",26151794
"[515, 180]","[785, 473, 649]","[900, 28, 513]",26151795
,,,26151796
"[773, 694, 96]","[785, 473, 708, 927]","[513, 692, 924]",26151797
"[515, 247]","[785, 193, 692, 924]","[26, 30, 920, 908, 513]",26151798
[7],,,26151799
"[246, 292, 512, 229, 649, 808, 624]",,,26151800
[7],,"[959, 7]",26151801
"[708, 96, 966]","[785, 732, 947, 661, 193]","[624, 808]",26151802
"[660, 388, 698, 45]","[785, 473]","[193, 808, 624]",26151803
"[515, 530]","[707, 45, 748]","[50, 624, 193]",26151804
"[707, 695]","[26, 624]","[193, 715]",26151805
[388],"[473, 444]","[624, 461, 193, 26]",26151806
"[515, 593, 723, 102]","[694, 193, 818, 927]","[808, 639, 920]",26151807
"[96, 74]","[292, 670]","[624, 908, 193]",26151808
"[515, 388, 562]","[639, 913, 473, 376]","[808, 193, 624]",26151809
"[96, 12, 331]","[927, 461, 785]","[924, 26, 624]",26151810
"[96, 388, 372, 725]","[512, 341, 395]","[26, 808, 649, 692]",26151811
"[178, 646, 530, 96]","[723, 661, 193]","[649, 808]",26151812
"[562, 660, 388, 604]","[785, 224, 455]","[513, 692, 26]",26151813
"[562, 725, 96]","[707, 785]","[924, 649, 624]",26151814
[96],"[785, 473]",[624],26151815
"[414, 472, 98, 450, 513, 512, 498, 924]",,,26151816
"[530, 259]",[513],"[26, 7]",26151817
"[604, 512, 96]","[661, 224]","[920, 193, 808, 624, 908]",26151818
[660],[785],[652],26151819
"[388, 101, 515, 45]",[376],[924],26151820
[366],"[913, 966, 785]","[808, 649, 26]",26151821
"[515, 16, 44]","[421, 473, 966, 661, 237, 224]","[920, 659, 624]",26151822
"[690, 96]","[785, 259, 33]","[450, 808, 624]",26151823
[473],,,26151825
"[512, 908]",,,26151826
"[96, 785, 32, 808]",,,26151827
"[96, 45]",[473],"[26, 908]",26151828
"[661, 562]",,,26151829
[376],,[193],26151830
"[725, 708]",[193],"[692, 513]",26151831
"[102, 562]","[732, 529]","[908, 624]",26151832
[96],"[473, 193, 26]","[624, 26, 692]",26151833
"[562, 178]","[670, 473, 669]","[924, 26, 624]",26151834
"[573, 28]","[624, 472, 450]","[692, 864, 927, 908]",26151835
"[513, 7, 472, 247, 646, 98]",,,26151836
"[694, 800]","[7, 785, 473]","[920, 624, 692]",26151837
"[785, 292, 708, 472, 372, 924, 26]",,,26151838
"[96, 515]","[473, 793, 512]","[808, 692, 193]",26151839
[96],[924],[924],26151840
"[562, 785]","[193, 692, 26]",[808],26151841
,,,26151842
,,,26151843
,,,26151844
,,,26151845
[808],,,26151846
[924],,,26151847
"[96, 12, 512, 863, 659]",,,26151848
"[227, 513, 325]",,,26151849
"[376, 596, 455]",,,26151850
"[343, 661, 808]",,,26151851
"[785, 913, 966]",,,26151852
"[391, 7]",,,26151853
[515],"[708, 888]",[7],26151854
"[846, 7]",,,26151855
"[624, 455, 26]",,,26151856
"[624, 353, 26]",,,26151857
"[530, 562, 388]","[473, 785]","[512, 920, 924]",26151858
"[785, 529, 473]",,,26151859
"[26, 2, 89]",,,26151860
"[96, 178, 529, 672, 604, 805, 27, 649, 624]",,,26151861
"[388, 96, 82]",,,26151862
[358],,,26151863
"[114, 187]",,,26151864
"[913, 785, 928]",,,26151865
"[785, 646]","[513, 403]",[920],26151866
"[627, 624, 472]",,,26151867
"[530, 96, 639, 573]","[630, 966, 928]",[924],26151868
"[28, 808, 193, 920, 498]",,,26151869
"[7, 652, 808, 785, 624]",,,26151870
"[227, 372, 780, 808, 903, 920]",,,26151871
"[388, 953, 108]","[785, 707, 529, 437, 473]","[26, 187, 808, 692]",26151872
"[227, 695, 927, 624, 920]",,,26151873
"[96, 765]",[707],"[908, 920, 624]",26151874
"[562, 723, 101, 725]","[639, 646, 224, 30]","[924, 900, 920, 908]",26151875
"[708, 178, 924, 624]",,,26151876
[101],"[302, 785, 694]","[920, 26]",26151877
"[562, 96, 101, 939, 808, 193]",,,26151878
"[624, 512, 82, 808]",,,26151879
"[53, 7]",,,26151880
,,,26151881
,,,26151882
,,,26151883
"[96, 224]","[927, 529, 290]","[904, 624, 649, 652, 421, 692]",26151884
"[96, 515, 562, 715]","[461, 785, 529, 927]","[904, 624, 28, 920]",26151885
,,,26151886
"[96, 512, 515, 177, 715]","[886, 237, 473]","[649, 624, 586, 472, 193, 692]",26151887
"[530, 96, 259, 708]","[473, 202]",[652],26151888
"[515, 562, 433]","[639, 202, 785]","[652, 808]",26151889
"[177, 512]",[670],"[669, 808, 908]",26151890
,,,26151891
"[353, 455, 7, 624]",,,26151892
[512],[692],"[808, 624, 920]",26151893
"[472, 920, 692, 455, 353]",,,26151894
"[376, 708, 403, 193, 900]",,,26151895
"[601, 473, 414, 51]",,,26151896
"[624, 26, 796, 303]",,,26151897
"[913, 793, 920, 89]",,,26151898
"[896, 800]",[193],"[26, 692, 513]",26151899
"[96, 515, 372, 512, 282, 178, 224, 473, 785, 193, 924, 649, 28, 920, 228, 624]",,,26151900
"[661, 102, 96, 12, 473, 398, 604, 920, 692]",,,26151901
"[733, 343, 96, 529, 463]",,,26151902
"[481, 437]",[461],[649],26151903
"[765, 515, 96]","[358, 785]","[624, 808, 920]",26151904
"[96, 698, 562]","[785, 473, 725]","[498, 26, 924]",26151905
"[388, 515, 573]","[725, 473]",[924],26151906
"[96, 234, 780]","[358, 785]","[624, 808, 920]",26151907
"[102, 707, 26]",,,26151908
"[395, 888, 513]","[178, 708, 896]","[26, 808]",26151909
"[96, 395, 473]","[108, 947, 785]","[692, 472]",26151910
"[102, 562, 599]","[661, 902]","[268, 920, 624, 808]",26151911
[530],"[545, 473, 555]","[765, 624]",26151912
[82],"[473, 529, 785]","[624, 193]",26151913
"[45, 102, 593]","[765, 473, 785, 529, 927, 785]","[808, 624, 193]",26151914
"[593, 515, 96]","[529, 785, 765]","[624, 193, 808]",26151915
"[388, 96]","[102, 785]","[624, 808]",26151916
"[515, 765]","[358, 473, 461]","[624, 26]",26151917
"[465, 627]","[461, 927]","[920, 473]",26151918
"[670, 785, 51, 421, 26]",,,26151919
"[529, 96]","[928, 473, 785, 669, 939]","[808, 193, 624]",26151920
"[953, 96]",[473],"[808, 624, 920]",26151921
[96],[473],"[624, 193, 920]",26151922
"[515, 660, 388, 624, 920]",,,26151923
"[793, 725]",[785],[472],26151924
[512],,,26151925
[96],"[336, 793]",[193],26151926
"[96, 639]","[555, 630, 785, 473, 461, 661, 966]","[808, 33, 27, 624]",26151927
[207],"[785, 661]","[461, 920, 176]",26151928
"[660, 96, 515]","[793, 715, 785, 473]",[193],26151929
"[227, 512, 224, 646]","[473, 927, 785, 573, 692]","[924, 7, 513, 26, 624]",26151930
"[96, 562, 555]","[664, 927, 785]","[216, 748, 808, 692, 920]",26151931
,,,26151932
"[455, 725, 331]","[785, 473, 36, 732]","[193, 692, 920, 624]",26151933
,,,26151934
"[193, 692, 26]",,,26151935
"[694, 966, 808, 920, 646, 224, 282]",,,26151936
"[388, 883, 96, 660]","[785, 372, 966]","[920, 7]",26151937
"[512, 725, 178]","[966, 202, 785]",[7],26151938
"[920, 627, 42, 624]",,,26151939
"[96, 515, 660, 530]","[715, 519, 660, 473]","[574, 624]",26151940
"[433, 920, 947, 747]",,,26151941
"[785, 7, 692, 513, 900]",,,26151942
"[227, 920, 176]",,,26151943
"[660, 96]","[473, 660]","[624, 748, 920]",26151944
"[530, 920, 7, 778, 325]",,,26151945
,,,26151946
"[372, 515, 237, 604, 785]","[26, 808, 800, 707, 472]","[649, 193, 924, 624]",26151947
"[96, 515, 660, 639, 796]","[601, 529, 290, 473, 512, 624]","[649, 649, 513, 692, 808, 924]",26151948
"[96, 390, 723, 45]","[473, 692, 98, 785, 247]","[28, 692, 649, 920, 624, 300]",26151949
"[33, 26, 36, 624, 7]",,,26151950
"[562, 698, 694, 102]","[725, 707, 785, 660]","[808, 193, 624]",26151951
[725],"[526, 529, 966]","[808, 920, 624]",26151952
[114],"[785, 800]","[692, 513]",26151953
"[800, 376, 472]","[785, 627]","[692, 908, 193]",26151954
"[96, 473, 661, 461, 529, 354]",,,26151955
"[573, 388, 96, 376]","[36, 293, 178, 367]","[692, 808, 924, 624, 785]",26151956
"[593, 785]","[661, 966]","[913, 473, 624]",26151957
"[343, 96, 102]","[421, 924, 224]","[692, 26, 513, 900]",26151958
"[306, 96]",[800],"[924, 808]",26151959
[376],"[473, 928]","[808, 805]",26151960
"[530, 281, 708, 800]",,,26151961
"[96, 421]","[24, 966, 785, 208]","[26, 908, 920, 864]",26151962
"[920, 624, 26]",,,26151963
,,,26151964
"[96, 227, 708]",[512],[692],26151965
[785],,,26151966
[237],,,26151967
"[660, 515, 102, 45, 303]","[785, 51, 670]","[692, 785, 624]",26151968
"[660, 96]","[82, 259, 472]","[472, 785]",26151969
"[96, 178]","[472, 461]","[187, 627]",26151970
"[660, 96]","[82, 259, 904]","[785, 472]",26151971
[376],"[293, 785, 102]",[920],26151972
"[178, 259, 854]",[353],"[193, 7, 692]",26151973
"[96, 310]",[82],"[624, 692]",26151974
"[96, 800]",,,26151975
"[388, 660]",[785],[808],26151976
"[515, 96]","[573, 512]","[692, 624]",26151977
"[388, 660]",[785],[808],26151978
"[515, 331]","[900, 513]","[692, 193, 26, 624]",26151979
[245],"[529, 785]","[7, 26, 808, 748, 624, 472]",26151980
"[96, 660]",[966],"[924, 924]",26151981
"[102, 562]","[785, 707, 732]","[808, 624]",26151982
"[395, 437, 661]","[913, 527, 473]","[808, 924, 920]",26151983
"[96, 715, 395, 376, 178, 920, 624]",,,26151984
,,,26151985
"[780, 96, 646]","[785, 529, 707]","[920, 472, 624, 187, 7]",26151986
"[562, 96]","[924, 692, 193, 45]","[624, 649]",26151987
"[515, 765]","[785, 927, 473]","[920, 879, 624]",26151988
"[515, 96]",[336],[624],26151989
"[802, 472, 708, 646]","[461, 624]","[924, 808]",26151990
"[96, 331, 512]","[28, 372, 908]","[624, 808]",26151991
"[53, 96, 927, 229]","[187, 473, 28]","[649, 808, 908, 624]",26151992
"[661, 928, 690, 966, 356, 920, 913, 808]",,,26151993
"[562, 698, 708, 461, 473, 692, 920, 624]",,,26151994
"[433, 498, 513, 7, 908, 472]",,,26151995
"[301, 224, 525, 670, 303, 7, 692, 472]",,,26151996
"[372, 512]","[224, 193]","[692, 649, 26, 624]",26151997
"[376, 639, 725, 624, 692]",,,26151998
"[661, 473]","[421, 461]","[513, 692, 864, 472]",26151999
"[920, 26, 28, 624]",,,26152000
"[660, 388, 515, 858, 45]","[785, 707, 694, 473]","[193, 920, 624]",26152001
"[707, 301]","[176, 908, 224]","[433, 498, 920, 865]",26152002
[473],,,26152003
"[353, 118]","[390, 386, 785, 247]","[26, 920, 624]",26152004
[3],[707],"[26, 920, 808]",26152005
"[96, 388]","[178, 376, 461]","[193, 924, 692]",26152006
"[388, 725, 331]","[229, 372, 472]","[193, 193, 924]",26152007
"[953, 388, 114, 102]","[376, 356, 45, 102]",[920],26152008
"[96, 96, 515, 45]","[928, 896, 573]","[26, 193, 908]",26152009
"[245, 96]","[473, 356, 245]","[805, 624]",26152010
"[366, 36, 461]",,,26152011
"[473, 808, 920]",,,26152012
,[193],"[832, 649, 7, 920]",26152013
[102],"[785, 473, 927]","[659, 920, 624]",26152014
,,,26152015
,,,26152016
"[395, 660, 96]","[473, 670, 785, 26]","[193, 36, 903, 692, 624]",26152018
"[472, 676, 256, 7, 608, 785]",,,26152019
"[414, 236, 513]",,,26152020
"[388, 96]","[725, 785, 707, 785, 529]","[33, 7]",26152021
[7],,,26152022
"[7, 800, 785, 187, 785, 808, 193, 599]",,,26152023
[7],,,26152024
"[624, 473, 26, 7]",,,26152025
"[7, 785, 473, 624]",,,26152026
"[7, 193, 808, 376]",,,26152027
"[785, 96, 562, 473, 7, 624]",,,26152028
,"[785, 661]",[808],26152029
[785],,,26152030
"[519, 793, 96]","[7, 808, 692]","[624, 649]",26152031
"[96, 883]","[473, 785, 661]","[26, 624, 920, 692]",26152032
"[96, 512, 908]",,,26152033
[785],,,26152034
"[96, 725]","[692, 372]","[7, 26]",26152035
[7],,,26152036
"[800, 193, 808, 624, 26]",,,26152037
"[947, 7, 26, 227, 624]",,,26152038
"[924, 7, 920, 247]",,,26152039
"[45, 347, 193, 26]",,,26152040
,"[913, 473]","[920, 808]",26152041
"[515, 395, 362]","[473, 785, 529]","[692, 924, 920, 624]",26152042
"[715, 178]","[670, 785, 966, 461, 473]","[692, 649, 498, 26, 624]",26152043
"[530, 883, 661]","[529, 555, 437]","[26, 808, 785]",26152044
"[725, 178, 388, 16]","[785, 372, 513, 7]","[652, 649, 808, 26]",26152045
"[96, 515, 513, 74, 692]",,,26152046
"[725, 723, 193, 624]",,,26152047
"[715, 96, 725]","[292, 193]","[649, 692]",26152048
"[96, 60]","[193, 924, 473]","[245, 624, 28, 372, 808, 513]",26152049
,,,26152050
,,,26152051
,,,26152052
,,,26152053
,,,26152054
,,,26152055
,,,26152056
,,,26152057
,,,26152058
[708],"[785, 601, 461]","[624, 808, 904, 920]",26152059
"[433, 846]","[461, 927]","[808, 193, 924, 26, 863, 472, 692, 920]",26152060
"[771, 785, 26]",,,26152061
"[529, 748]",,,26152062
"[102, 785, 193]",,,26152063
"[281, 927, 808]",,,26152064
"[45, 388]","[473, 785, 927, 193]","[624, 808, 26]",26152065
"[940, 883, 527, 433, 785]","[785, 358]","[624, 193, 461, 808]",26152066
"[515, 793, 512, 96, 927]","[193, 715, 376, 723, 785]","[808, 924, 649, 624, 26, 920]",26152067
"[96, 16, 7]",,,26152068
"[480, 372, 512, 924]",,,26152069
"[388, 53, 959]",,,26152070
"[515, 698, 229, 26, 908]",,,26152071
"[684, 331, 725, 785, 800]",,,26152072
"[902, 176]",,,26152073
"[858, 118, 765, 624]",,,26152074
"[579, 661, 785, 694, 624]",,,26152075
"[515, 96, 480]","[178, 512]","[624, 26, 193, 624]",26152076
,,,26152077
,,,26152078
,,,26152079
,,,26152080
,,,26152081
,,,26152082
,,,26152083
,,,26152084
"[624, 433, 661, 920]",,,26152085
[96],"[692, 98]","[26, 624]",26152086
"[26, 437, 924, 498, 624, 692, 961]",,,26152088
"[515, 562]",,"[473, 624, 193, 694]",26152089
"[741, 971, 725, 707, 74, 193, 26, 624]",,,26152090
"[725, 924, 908, 920]",,,26152091
"[472, 800, 808, 920]",,,26152092
"[353, 747, 455]",,,26152093
,,,26152094
"[601, 661, 28, 624, 555, 228]",,,26152095
"[101, 417, 513, 28, 639, 228]",,,26152096
"[599, 864, 785, 920, 237, 376]",,,26152097
"[102, 465, 290]",,,26152098
[800],,,26152099
[808],,,26152100
"[39, 28, 652, 433, 498, 193, 785, 515]",,,26152101
"[228, 649, 808, 713, 920, 904, 785, 785, 473, 785, 669, 785, 96, 562, 694]",,,26152102
[247],,,26152103
"[33, 808, 282, 808, 472, 498, 7, 785, 785, 785, 628, 303, 366]",,,26152104
"[670, 808, 193, 670, 473, 966, 715, 725, 971]",,,26152105
[639],[525],[920],26152106
[854],[661],[525],26152107
[785],[372],[26],26152108
[966],[913],[624],26152109
[698],[765],,26152110
[698],[661],[247],26152111
[723],[224],[908],26152112
[900],[513],[193],26152113
[372],[224],[193],26152114
[45],[512],[920],26152115
"[800, 896]","[785, 472]","[7, 7]",26152116
[247],"[808, 39]",[692],26152117
[96],[372],[924],26152118
"[708, 259]","[785, 432, 473, 966]","[193, 649, 33, 26]",26152119
"[785, 473, 96, 966]","[639, 388, 45, 690, 723, 224]","[649, 920, 808, 187, 649, 193]",26152120
"[96, 480, 259, 646, 82]","[526, 461, 473, 372, 60, 259]","[858, 98, 920, 924]",26152121
"[96, 660, 604, 896, 649, 808, 624]",,,26152122
"[562, 101, 515, 966]","[715, 732, 473, 896]","[920, 26, 193, 692]",26152123
"[785, 201]","[588, 473, 461]","[649, 26, 193, 924]",26152124
,"[785, 303, 529, 966, 526, 639, 473]","[808, 649, 26, 920, 692]",26152125
"[161, 331, 908, 26]",,,26152126
"[707, 785, 367, 473, 639, 966, 526]","[461, 177, 708, 886, 723]","[193, 924, 908, 649]",26152127
"[473, 785, 927]","[421, 372, 60, 966, 259]","[808, 920, 461, 649]",26152128
"[96, 515, 562, 694, 565, 680]","[785, 358]","[649, 26]",26152129
"[725, 96]","[461, 785, 473]","[26, 808, 692, 624]",26152130
"[808, 473, 924]",,,26152131
,,,26152132
,,,26152133
,,,26152134
,,,26152135
,,,26152136
,,,26152137
"[515, 562, 376, 624]",[573],"[924, 193]",26152138
"[16, 53, 639, 924, 692]",,,26152139
"[96, 660, 472, 178]","[555, 669]","[26, 624]",26152140
"[96, 178]",,"[808, 920, 908, 26, 624]",26152141
"[281, 928]","[785, 785, 669]","[513, 808, 692, 193]",26152142
[96],"[473, 966, 785, 358]","[808, 624]",26152143
"[388, 96]",[908],"[920, 692, 624]",26152144
"[108, 785, 661, 832, 26, 624, 96, 372, 785, 473, 927, 692, 193, 39, 808, 920, 498]",,,26152145
"[660, 562, 670, 285]","[356, 630]","[808, 920, 26, 647, 624]",26152146
"[472, 627, 808, 832, 692, 778, 624, 28, 191, 227, 347, 193, 473]",,,26152147
"[661, 858, 765]","[785, 473, 927]","[624, 193, 30, 292, 347]",26152148
"[96, 906, 344]","[785, 366, 707, 372, 660, 465]","[924, 692, 624, 433]",26152149
"[515, 96, 562, 366, 604, 358]","[913, 966, 89, 785, 437]","[924, 692, 26, 624, 808, 193]",26152150
"[395, 914, 708]","[630, 444, 473, 785, 529, 367]","[573, 624, 193, 924]",26152151
"[473, 39, 908]",,,26152152
"[708, 193, 900]",,,26152153
"[227, 966]",,,26152154
"[924, 715, 39]",,,26152155
"[785, 96, 660]",,,26152156
[96],"[966, 473]","[649, 920]",26152157
"[388, 96, 660]","[473, 785, 694, 45]","[193, 586, 649]",26152158
"[966, 529, 290, 96]","[245, 898]","[920, 649, 649, 193]",26152159
[515],"[785, 526, 927]","[649, 920]",26152160
"[661, 947, 785, 555]",,"[193, 649, 920, 692, 33, 890]",26152161
"[694, 562, 388, 515, 639]","[555, 785, 938, 358, 630]","[433, 26]",26152162
"[96, 660, 854]","[473, 661, 785, 526]","[920, 624]",26152163
,"[785, 461, 675, 526, 529, 512, 473, 694, 707, 966]","[920, 645, 649]",26152164
,"[785, 461]","[808, 193, 624]",26152165
[661],"[785, 421, 372, 928]","[26, 649]",26152166
"[515, 96, 51, 708]","[670, 473, 785, 661, 367]",[692],26152167
"[473, 639, 178, 924, 193, 96, 388, 515, 660, 808, 624]",,,26152168
"[692, 473, 473, 669, 908, 920, 900, 193, 7, 96, 624]",,,26152169
"[96, 512, 473, 808, 908, 624]",,,26152170
"[480, 193, 627, 966, 96, 725, 624]",,,26152171
"[928, 473, 414, 924, 515, 96, 388, 624]",,,26152172
"[193, 473, 715, 660, 725, 624]",,,26152173
"[627, 692, 193, 473, 908, 96, 883, 624]",,,26152174
"[692, 920, 908, 193, 966, 725, 96, 624]",,,26152175
"[44, 513, 649]",,,26152176
"[16, 473, 530]",,,26152177
"[178, 800, 785]",,,26152178
"[639, 920, 193, 513]",,,26152179
"[966, 473, 96, 692, 908, 920, 669, 624, 191, 649, 900]",,,26152180
